distance,x,y,under_y,theta
10,156,87,97,44.717963625
10,146,79,91,37.887383875
10,125,73,86,25.971349999999997
10,109,68,80,17.1292
10,81,67,78,2.993598
10,58,70,83,-8.694159124999999
10,36,73,85,-20.151909375
10,18,79,91,-30.416632125000003
10,4,80,99,-39.658123874999994
20,5,55,63,-32.751678749999996
20,13,52,60,-28.69515
20,24,48,56,-23.290781999999997
20,34,46,56,-18.723961999999997
20,46,44,54,-13.162143
20,58,43,53,-7.692901624999999
20,71,41,51,-1.7998605
20,81,40,48,2.6786879999999997
20,99,41,51,10.799162999999998
20,112,42,52,16.695251
20,119,44,54,19.970148
20,129,45,53,24.43627575
20,141,49,56,30.141011999999996
20,151,52,60,35.174699999999994
20,156,56,64,38.04181199999999
30,57,28,35,-7.84175625
30,45,30,36,-13.086810000000002
30,23,34,40,-22.825399999999995
30,4,41,47,-31.620639875
30,113,29,36,16.576626
30,100,28,35,10.891328125
30,80,27,33,2.1731681249999997
30,70,27,34,-2.17561
30,157,42,46,36.433994
30,153,38,44,34.503845999999996
30,142,35,41,29.462420875
30,131,32,39,24.539487
40,113,20,25,16.426093749999996
40,154,29,34,34.374638
40,121,22,27,19.899651749999997
40,130,23,28,23.805815000000003
40,143,26,31,29.4973885
40,99,19,24,10.371888
40,81,18,22,2.592498
40,70,19,24,-2.16081
40,57,20,25,-7.78078125
40,45,21,26,-12.972359999999998
40,32,23,28,-18.611819
40,22,26,31,-22.990611625
40,11,29,34,-27.847808
40,3,32,37,-31.452740999999996
50,153,24,28,33.760974000000004
50,143,21,25,29.394062499999997
50,130,18,22,23.764565
50,121,17,20,19.880049999999997
50,113,15,19,16.42683475
50,99,13,17,10.383207
50,81,13,17,2.59580175
50,70,13,17,-2.1631681250000003
50,57,14,18,-7.783884
50,45,16,20,-12.96525
50,32,18,22,-18.579569
50,21,20,24,-23.336748000000004
50,11,23,27,-27.686472
60,69,9,12,-2.605518
60,10,19,22,-28.085395
60,32,13,16,-18.613496
60,21,16,19,-23.343396750000004
60,81,9,12,2.605518
60,57,10,13,-7.80918525
60,45,12,15,-12.994593749999998
60,131,14,17,24.227483000000003
60,143,17,20,29.3879
60,154,20,23,34.135988875
60,99,9,13,10.412247
60,113,11,14,16.472126
60,121,12,15,19.925043749999997
70,22,13,16,-22.942216
70,32,11,14,-18.639511
70,57,7,10,-7.833599999999999
70,45,8,11,-13.04115375
70,121,9,12,19.975638
70,113,8,11,16.518794749999998
70,10,16,19,-28.098533125000003
70,99,6,9,10.457703
70,81,5,8,2.617908
70,69,6,9,-2.6144257499999997
70,143,13,16,29.435295999999997
70,154,16,19,34.150524875
70,131,10,13,24.295243
80,10,13,15,-28.154953124999995
80,81,3,5,2.62989375
80,57,4,7,-7.86494025
80,99,4,6,10.502567999999998
80,70,4,6,-2.1880349999999997
80,130,8,10,23.935999999999996
80,143,11,13,29.5013665
80,45,6,8,-13.08954
80,32,8,10,-18.713599999999996
80,21,10,12,-23.449662
80,154,14,16,34.196888
80,131,5,8,24.433808
80,121,7,10,20.01919999999999
