under_y,theta,distance
0,-33.1875,129.03844
1,-33.11832187500001,124.914246
2,-33.05234999999999,120.7968
3,-32.98958437499999,116.68616
4,-32.930025,112.64716
5,-32.873671875,108.64747
6,-32.820525,104.6782
7,-32.770584375,101.061104
8,-32.72385,97.16884
9,-32.680321875,93.38896
10,-32.63999999999999,89.18456
11,-32.602884375,87.2873
12,-32.568975,85.904755
13,-32.538271875,84.50599
14,-32.510774999999995,83.07857
15,-32.486484375,81.63811
16,-32.465399999999995,80.1895
17,-32.44752187500001,78.721695
18,-32.432849999999995,76.81909
19,-32.421384375,74.13411
20,-32.413125,70.14406
21,-32.40807187499999,66.289505
22,-32.406225,63.379402
23,-32.407584375,60.87128
24,-32.412150000000004,58.997948
25,-32.419921875,57.239113
26,-32.4309,55.882202
27,-32.445084375,54.515884
28,-32.462475000000005,53.127533
29,-32.483071875,51.73994
30,-32.506875,50.353092
31,-32.533884375,48.913948
32,-32.5641,47.45769
33,-32.597521875,46.151726
34,-32.63415,44.898605
35,-32.673984375,43.67866
36,-32.71702500000001,42.596092
37,-32.763271874999994,41.677048
38,-32.812725,40.74507
39,-32.865384375,39.858894
40,-32.92124999999999,38.976685
41,-32.980321875,38.070583
42,-33.0426,37.133247
43,-33.108084375000004,36.246487
44,-33.176775,35.280254
45,-33.248671875,34.311768
46,-33.323775000000005,33.38993
47,-33.402084375,32.600094
48,-33.4836,31.784426
49,-33.568321875,30.94202
50,-33.65625,30.112293
51,-33.747384375,29.278284
52,-33.841725,28.434433
53,-33.939271875,27.595257
54,-34.040025,26.778542
55,-34.143984374999995,26.06558
56,-34.25115,25.392561
57,-34.361521875,24.7636
58,-34.4751,24.188063
59,-34.591884375,23.723307
60,-34.711875,23.301168
61,-34.835071875,22.890234
62,-34.961475,22.49853
63,-35.091084375,22.095669
64,-35.2239,21.744278
65,-35.359921875,21.367577
66,-35.49914999999999,20.970598
67,-35.641584375,20.549316
68,-35.787225,20.133783
69,-35.936071875,19.722815
70,-36.088125,19.31143
71,-36.243384375,18.902334
72,-36.40185,18.498068
73,-36.563521875,18.118536
74,-36.7284,17.768648
75,-36.89648437499999,17.429403
76,-37.067775000000005,17.065622
77,-37.242271875,16.696917
78,-37.419975,16.337042
79,-37.60088437499999,15.97897
80,-37.785,15.628069
81,-37.972321875,15.29133
82,-38.16285,14.974741
83,-38.356584375,14.684291
84,-38.553525,14.399822
85,-38.753671875,14.153999
86,-38.957025,13.929536
87,-39.163584375,13.722532
88,-39.37335,13.517929
89,-39.586321875,13.312835
90,-39.8025,13.124599
91,-40.021884375,12.942189
92,-40.244475,12.761702
93,-40.470271875,12.583783
94,-40.699275,12.415261
95,-40.931484375,12.251415
96,-41.1669,12.090124
97,-41.405521875,11.931384
98,-41.64735,11.771881
99,-41.892384375,11.610197
100,-42.14062499999999,11.453594
101,-42.392071875,11.3046
102,-42.646725,11.162215
103,-42.90458437499999,11.026936
104,-43.16564999999999,10.89435
105,-43.429921875,10.764473
106,-43.6974,10.637299
107,-43.968084375,10.512823
108,-44.241975,10.391054
109,-44.519071875,10.271982
110,-44.799375,10.1542015
111,-45.082884375,10.03706
112,-45.3696,9.922638
113,-45.659521875,9.813515
114,-45.95265,9.708799
115,-46.248984375,9.606783
116,-46.548525,9.507473
