distance,x,y,under_y,theta
2,14,114,120,-38.860049999999994
2,81,107,120,3.8223
3,106,104,118,19.491653
3,136,109,119,38.60599262499999
3,27,109,120,-30.5784
3,61,104,119,-8.860391749999998
3,148,112,119,46.200614124999994
4,121,100,114,28.184291999999996
4,42,101,116,-20.481350999999997
4,9,109,118,-41.498358
5,60,93,108,-8.848395
5,80,91,105,2.895328125
6,109,87,101,19.217739249999997
6,152,103,116,47.789818999999994
6,7,105,118,-42.755884
7,123,85,99,26.811126
7,20,91,105,-31.848609375
8,60,78,92,-8.048895000000002
8,154,95,107,46.313048875
8,81,76,88,3.1498679999999997
8,39,82,96,-19.760112000000003
8,143,88,101,38.435478499999995
8,5,96,109,-41.55113375
9,19,82,94,-30.388792
9,109,73,86,17.660517999999996
9,125,78,91,26.68125625
11,37,68,79,-19.051114749999996
11,156,13,92,43.464033
12,80,60,71,2.416225625
12,127,66,77,25.8213085
13,2,78,87,-38.119222125
13,58,59,71,-8.215167125
14,149,67,78,36.921042
14,15,66,76,-29.65422
15,80,51,61,2.322338125
15,128,57,68,25.289639
15,35,58,69,-19.165905
16,35,55,66,-18.932879999999997
16,112,52,62,17.247661
17,0,68,73,-36.563521875
17,80,46,55,2.2762656249999997
18,58,47,58,-7.814356
18,151,57,66,35.972471999999996
19,112,45,55,16.844365625
19,13,54,63,-29.00862975
21,23,47,55,-23.673162499999997
21,111,41,49,16.1127945
22,5,52,59,-32.28575875
22,57,39,46,-7.997706000000001
23,121,40,48,20.536608
23,156,51,58,37.233108
23,70,36,44,-2.211785
23,33,41,49,-18.79826025
23,141,44,52,29.780717999999997
24,99,35,42,10.573632
24,81,34,41,2.6384257499999997
24,13,45,53,-28.05646475
25,45,37,45,-13.29946875
25,128,38,46,23.548801
26,70,32,40,-2.1947499999999995
26,120,35,44,19.906065
26,152,43,50,34.55375
26,22,40,47,-23.604139625
27,45,34,42,-13.21704
27,113,33,41,16.710029749999997
27,4,45,52,-32.036832999999994
28,12,40,47,-28.057750874999996
28,33,35,42,-18.503856000000003
28,57,31,39,-7.88769225
28,99,31,38,10.500072
28,157,44,50,36.79749999999999
29,80,28,34,2.17561
29,142,36,43,29.576555375000005
31,57,27,32,-7.815384000000002
32,45,28,34,-13.05366
32,131,30,36,24.428712
32,113,27,33,16.516077749999997
32,100,26,32,10.8547
33,81,24,30,2.6005499999999997
33,158,39,43,36.63961337500001
33,121,28,34,20.015611999999997
34,142,31,37,29.268522874999995
34,69,24,30,-2.6005499999999997
34,153,35,41,34.29953475
35,113,25,31,16.48383475
36,45,25,30,-13.00275
36,121,25,31,19.95411575
36,57,23,29,-7.79593725
37,99,21,27,10.382426999999998
37,81,21,26,2.5944719999999997
37,153,32,38,34.125234
38,69,21,27,-2.5956067499999995
38,158,35,38,36.312749
38,131,25,31,24.291967
39,142,27,32,29.090596000000005
41,32,22,26,-18.593715999999997
42,11,27,32,-27.788032000000005
42,130,22,27,23.793061875
42,113,19,24,16.422156
43,57,18,23,-7.77782025
43,121,20,25,19.884218749999995
43,22,24,28,-22.940149
43,153,28,33,33.901422749999995
44,99,17,22,10.369992
44,70,16,21,-2.1605381249999995
44,45,19,23,-12.96303375
45,113,18,23,16.419842749999997
45,142,23,28,28.999811
45,81,15,19,2.59371075
46,69,15,20,-2.59305
46,153,26,30,33.80715
46,33,20,24,-18.150804
47,121,18,22,19.875818
47,82,14,18,3.0270659999999996
47,11,25,29,-27.718888
47,57,16,20,-7.77915
48,99,14,18,10.378512
48,21,21,25,-23.34234375
48,143,22,26,29.404016
49,44,16,20,-13.397425
49,130,18,22,23.764565
51,99,13,16,10.388927999999998
51,33,17,20,-18.15135
52,143,20,24,29.387016
52,113,14,18,16.432643999999996
52,11,22,26,-27.674368
52,57,13,16,-7.791696
52,154,23,27,34.175488875
53,131,16,20,24.2018
53,121,15,19,19.88511575
53,45,14,18,-12.97314
53,69,12,15,-2.5989187499999997
54,81,11,14,2.600862
54,21,19,23,-23.33346075
55,143,19,23,29.3828765
55,57,12,16,-7.791696
55,99,12,16,10.388927999999998
56,121,14,18,19.892147999999995
57,11,20,24,-27.658368000000003
57,45,13,16,-12.986159999999998
57,69,11,15,-2.5989187499999997
57,131,15,19,24.207967
58,153,20,24,33.708636
58,33,14,18,-18.162396
58,81,9,12,2.605518
58,113,12,16,16.449136
59,21,16,20,-23.33745
61,69,8,11,-2.6082307499999997
62,131,13,16,24.240831999999997
62,113,10,13,16.48605775
62,33,13,16,-18.180624
62,81,8,11,2.6082307499999997
62,154,19,22,34.134557
63,10,18,21,-28.086995624999993
63,99,9,12,10.422072
64,45,60,13,-13.01530875
64,21,15,18,-23.351652
65,143,15,18,29.405783999999997
65,33,12,15,-18.19243125
65,57,9,11,-7.82469225
66,131,12,15,24.25657499999999
66,121,10,13,19.95680675
67,154,18,21,34.13650237499999
67,10,17,20,-28.091375
67,99,7,10,10.4448
67,81,6,9,2.6144257499999997
68,21,14,17,-23.362215750000004
68,143,14,17,29.4190865
68,113,9,11,16.518794749999998
69,45,8,11,-13.04115375
72,131,10,12,24.318168
72,113,7,10,16.537599999999998
72,10,15,17,-28.121185625000003
72,143,13,15,29.454412499999997
72,81,8,7,2.6216467499999996
73,69,5,8,-2.617908
73,45,8,11,-13.04115375
73,32,9,12,-18.672879
74,57,6,8,-7.853724
74,130,10,13,23.861399375
74,121,8,10,20.01919999999999
74,154,16,19,34.150524875
75,99,5,8,10.471632
75,22,11,14,-22.974281
76,81,4,6,2.6256419999999996
76,113,7,10,16.537599999999998
76,45,7,9,-13.07212875
77,10,14,16,-28.13668
78,121,7,9,20.04393075
78,70,4,6,-2.1880349999999997
78,32,8,11,-18.692320375
78,154,14,17,34.178056375000004
78,143,12,15,29.454412499999997
79,130,9,12,23.883915
